county_fips,food_desert_prevalence,obesity_pct,poverty_pct,median_income_usd,education_pct,diabetes_pct,inactivity_pct
08093,20.0,25.9,7.2,95450.0,38.83,9.5,16.3
08095,0.0,29.7,15.75,60372.0,25.65,11.6,24.7
08097,0.0,21.1,7.15,100318.0,63.97,7.5,12.9
08099,60.0,30.8,17.17,57601.0,18.84,11.9,24.8
08101,70.9090909090909,31.2,15.42,62250.0,25.02,11.7,23.4
08103,0.0,27.4,8.98,72620.0,26.59,9.2,19.5
08105,66.66666666666666,26.0,14.91,62166.0,31.11,10.9,20.2
08107,0.0,25.2,6.4,104803.0,52.12,8.1,15.2
08109,50.0,30.6,17.62,54283.0,30.71,14.4,26.6
08111,100.0,27.8,16.81,73889.0,47.23,10.1,18.6
08113,0.0,25.7,8.41,80117.0,65.21,8.3,15.7
08115,0.0,29.5,14.51,52833.0,27.4,13.9,25.3
08117,0.0,23.5,7.42,106255.0,52.47,7.8,15.1
08119,0.0,27.6,7.59,80666.0,37.83,9.9,17.6
08121,0.0,26.6,7.6,65164.0,24.88,10.2,19.4
08123,28.57142857142857,31.4,9.05,93287.0,31.96,8.8,19.4
08125,100.0,27.6,14.99,60051.0,25.97,10.7,22.9
10001,30.303030303030305,38.9,11.29,72872.0,26.74,12.8,25.9
10003,31.297709923664126,37.7,10.2,89901.0,39.22,13.1,23.1
10005,12.962962962962962,38.0,11.5,78162.0,32.57,14.2,24.2
11001,27.37430167597765,24.7,14.53,106287.0,63.56,7.9,14.5
12001,41.07142857142857,30.2,19.66,59659.0,47.67,10.1,22.9
12003,0.0,37.8,13.06,70833.0,15.34,11.8,30.5
12005,25.0,35.1,11.67,70188.0,28.04,11.6,25.2
12007,0.0,38.6,19.05,59740.0,14.99,14.1,30.5
12009,29.82456140350877,32.2,9.9,75817.0,33.54,12.6,24.1
12011,24.861878453038674,31.9,12.23,74534.0,35.8,14.1,27.4
12013,0.0,43.7,21.24,46901.0,13.1,14.1,31.4
12015,20.51282051282051,33.2,9.56,66154.0,25.31,15.3,27.0
12017,17.857142857142858,33.8,15.5,55355.0,20.4,15.2,26.9
12019,13.333333333333334,35.7,9.14,86094.0,28.69,11.5,21.8
12021,27.027027027027028,25.9,10.45,86173.0,39.54,13.5,25.3
12023,8.333333333333332,38.1,17.02,55070.0,16.35,14.2,29.1
12027,33.33333333333333,43.1,23.08,50868.0,10.98,17.5,34.7
12029,25.0,43.0,19.29,47655.0,8.09,15.7,36.0
12031,44.827586206896555,33.0,14.62,68447.0,33.09,12.7,27.5
12033,36.11111111111111,32.0,14.49,65715.0,28.93,12.2,25.3
12035,9.523809523809524,33.1,9.42,72923.0,30.44,14.5,24.7
12037,0.0,36.8,17.31,62734.0,25.29,14.2,28.1
12039,22.22222222222222,44.2,27.66,46047.0,20.08,16.9,33.2
12041,0.0,36.8,11.16,61070.0,14.52,13.0,29.3
12043,75.0,38.9,21.15,38905.0,12.71,17.5,36.5
12045,0.0,38.4,11.6,67361.0,24.49,13.5,29.0
12047,66.66666666666666,38.9,27.35,47696.0,11.21,16.2,35.9
12049,50.0,39.3,24.25,54231.0,12.25,15.5,36.7
12051,42.857142857142854,38.4,21.59,53044.0,10.73,15.6,35.7
12053,33.33333333333333,33.3,12.01,63193.0,20.44,14.8,29.4
12055,40.74074074074074,34.0,15.39,55581.0,19.73,17.3,33.0
12057,33.021806853582554,31.4,13.2,75011.0,37.16,12.0,23.9
12059,50.0,36.1,14.39,48236.0,12.05,13.9,30.8
12061,16.129032258064516,31.8,11.44,71049.0,33.43,14.7,26.0
12063,27.27272727272727,42.4,18.82,47327.0,14.64,15.6,32.1
12065,0.0,38.3,20.32,56984.0,18.84,15.4,27.8
12067,50.0,39.9,17.79,60692.0,7.9,14.7,32.9
12069,25.0,34.2,9.46,69956.0,26.78,14.9,26.2
12071,24.550898203592812,30.6,11.73,73099.0,30.76,14.0,23.6
12073,41.17647058823529,30.8,18.53,65074.0,48.58,10.0,21.6
12075,20.0,38.6,17.16,53805.0,16.18,14.2,31.6
12077,0.0,41.0,20.81,53824.0,15.76,13.6,31.3
12079,40.0,36.3,20.94,48176.0,12.5,17.1,38.2
12081,31.645569620253166,33.1,10.4,75792.0,34.34,14.2,27.0
12083,26.984126984126984,38.4,14.58,58535.0,22.38,15.6,32.3
12085,16.666666666666664,26.5,11.36,80701.0,36.64,13.1,23.6
12086,25.626204238921,30.5,14.93,68694.0,33.21,15.3,31.9
12087,3.225806451612903,30.0,10.4,82430.0,37.8,12.6,24.5
12089,7.6923076923076925,32.8,9.24,88900.0,34.52,12.0,20.4
12091,13.953488372093023,33.4,9.28,79097.0,34.22,10.9,21.1
12093,58.333333333333336,39.7,19.04,52288.0,16.1,15.2,34.7
12095,42.028985507246375,32.6,13.05,77011.0,38.41,11.6,23.0
12097,48.78048780487805,31.3,12.45,68711.0,28.26,13.4,28.6
12099,22.781065088757398,29.6,11.08,81115.0,39.55,13.2,26.2
12101,41.7910447761194,34.4,11.1,67384.0,28.04,12.3,23.4
12103,23.577235772357724,31.9,11.44,70293.0,35.84,12.6,25.6
12105,33.76623376623377,40.9,14.71,63644.0,22.64,14.6,30.2
12107,29.411764705882355,39.2,23.87,47256.0,14.09,16.5,33.7
12109,12.195121951219512,26.7,6.71,106169.0,48.61,9.8,17.0
12111,37.77777777777778,34.1,11.64,69027.0,25.37,14.8,28.4
12113,7.6923076923076925,31.5,8.44,88968.0,30.98,10.9,24.0
12115,20.0,27.7,8.19,80633.0,39.66,12.6,22.5
12117,13.953488372093023,31.5,9.21,83030.0,42.38,11.2,21.0
12119,10.526315789473683,32.2,9.06,73297.0,35.07,16.5,24.9
12121,28.57142857142857,44.6,14.15,55479.0,16.43,14.3,29.4
12123,60.0,42.9,17.31,44985.0,15.06,15.2,31.3
12125,66.66666666666666,42.5,18.65,64922.0,10.0,13.7,31.6
12127,33.33333333333333,32.9,12.24,66581.0,27.18,12.5,24.1
12129,20.0,38.0,5.59,74183.0,21.28,12.0,23.9
12131,33.33333333333333,31.5,11.43,79281.0,34.23,11.8,22.3
12133,57.14285714285714,41.2,18.95,52723.0,12.49,13.7,30.9
13001,60.0,40.6,23.81,43728.0,9.95,15.1,32.1
13003,33.33333333333333,42.2,25.04,38438.0,9.82,16.4,35.3
13005,0.0,41.2,20.91,50310.0,11.02,14.5,32.8
13007,100.0,42.2,29.4,44405.0,16.88,19.9,34.7
13009,55.55555555555556,37.6,21.99,55413.0,24.13,14.3,29.9
13011,0.0,37.0,12.84,68830.0,17.34,12.9,30.8
13013,33.33333333333333,40.1,10.19,77477.0,21.02,11.4,24.9
13015,26.666666666666668,38.0,10.08,79431.0,22.94,11.7,26.5
13017,40.0,41.9,25.73,39081.0,12.11,17.3,37.1
13019,33.33333333333333,38.8,22.07,50414.0,12.8,14.6,32.3
13021,65.9090909090909,48.1,24.83,50747.0,25.99,15.7,32.8
